brand,outlet,area,dine_in_price_rm,delivery_price_rm,google_rating,google_reviews,ig_followers,tiktok_views_est,num_outlets,boneless,sambal_options,extras_included,viral,date_collected,price_source,viral_tax_rm,price_premium_pct,hype_score
Gepuklah,Damansara Jaya,Damansara,19.9,21.9,4.6,450,62000,8500000,1,Yes,3,"Nasi lemak rice, sambal kacang, bayam, tempeh, egg",Yes,2026-08-29,says.com + ayampanas.com Aug 2026,4.3,27.6,38.4
Ayam Gepuk Pak Gembus,Wangsa Maju,Wangsa Maju,16.4,19.4,4.3,2100,85000,12000000,70,No,10,"Rice, tempeh, tofu, veg, cucumber",Yes,2026-08-29,pricelisto.com Aug 22 2026,0.8,5.1,100.0
Ayam Gepuk Pak Gembus,Cheras,Cheras,16.4,19.4,4.2,1450,85000,12000000,70,No,10,"Rice, tempeh, tofu, veg, cucumber",Yes,2026-08-29,pricelisto.com Aug 22 2026,0.8,5.1,91.3
Ayam Gepuk Pak Gembus,Subang,Subang,16.4,19.4,4.3,980,85000,12000000,70,No,10,"Rice, tempeh, tofu, veg, cucumber",Yes,2026-08-29,pricelisto.com Aug 22 2026,0.8,5.1,84.9
Ayam Gepuk Pak Gembus,Cyberjaya,Cyberjaya,16.4,19.4,4.2,540,85000,12000000,70,No,10,"Rice, tempeh, tofu, veg, cucumber",Yes,2026-08-29,pricelisto.com Aug 22 2026,0.8,5.1,79.0
Ayam Gepuk Pak Gembus,Gombak,Gombak,16.4,19.4,4.4,890,85000,12000000,70,No,10,"Rice, tempeh, tofu, veg, cucumber",Yes,2026-08-29,pricelisto.com Aug 22 2026,0.8,5.1,83.7
Ayam Gepuk Hut,Mid Valley,Bangsar,16.9,18.9,4.4,520,15000,1800000,3,No,4,"Rice, tempeh, tofu, veg, salted egg sotong option",Yes,2026-08-29,trip.com + ioicitymall.com.my 2026,1.3,8.3,11.6
Ayam Gepuk Hut,IOI City Mall,Putrajaya,16.9,18.9,4.3,380,15000,1800000,3,No,4,"Rice, tempeh, tofu, veg, salted egg sotong option",Yes,2026-08-29,trip.com + ioicitymall.com.my 2026,1.3,8.3,9.7
King Ayam Gepuk,Kepong,Kepong,15.6,17.6,4.3,340,6000,380000,2,No,3,"Rice, sambal, cucumber, fried chicken",No,2026-08-29,sethlui.com 2026 physical visit,0.0,0.0,3.0
King Ayam Gepuk,Setapak,Setapak,15.6,17.6,4.2,260,6000,380000,2,No,3,"Rice, sambal, cucumber, fried chicken",No,2026-08-29,sethlui.com 2026,0.0,0.0,2.0
Ayam Gepuk Top Global,Wangsa Maju,Wangsa Maju,14.25,18.0,4.2,1800,45000,5000000,40,No,5,"Rice, tempeh, tofu, veg",Yes,2026-08-29,sethlui.com 2026 physical visit,-1.35,-8.7,58.1
Ayam Gepuk Top Global,Shah Alam,Shah Alam,14.25,18.0,4.2,580,45000,5000000,40,No,5,"Rice, tempeh, tofu, veg",Yes,2026-08-29,sethlui.com 2026,-1.35,-8.7,41.7
Ayam Gepuk Top Global,Chow Kit,Chow Kit,14.25,18.0,4.1,1200,45000,5000000,40,No,5,"Rice, tempeh, tofu, veg",Yes,2026-08-29,sethlui.com 2026,-1.35,-8.7,50.0
Ayam Gepuk Macet,Shah Alam,Shah Alam,13.0,15.0,4.2,310,4500,280000,2,No,3,"Rice, tempeh, veg",No,2026-08-29,makan.buddy Threads 2026,-2.6,-16.7,2.0
Ayam Gepuk Macet,Subang,Subang,13.0,15.0,4.1,240,4500,280000,2,No,3,"Rice, tempeh, veg",No,2026-08-29,makan.buddy Threads 2026,-2.6,-16.7,1.0
Ayam Gepuk Artisan,Klang,Klang,10.99,12.99,4.2,290,3000,180000,1,No,2,"Rice, ayam goreng klasik, sambal, kobis, timun",No,2026-08-29,ayamgepukartisan.my official website,-4.61,-29.6,0.7
Gesek Geprek,Wangsa Maju,Wangsa Maju,10.5,14.0,4.2,380,3000,180000,3,No,2,"Rice, sambal, ayam crispy, kobis goreng, timun, kicap",No,2026-08-29,gesekgeprek.com official website,-5.1,-32.7,2.6
Gesek Geprek,Ampang,Ampang,10.5,14.0,4.1,240,3000,180000,3,No,2,"Rice, sambal, ayam crispy, kobis goreng, timun, kicap",No,2026-08-29,gesekgeprek.com official website,-5.1,-32.7,0.7
